,tweet_id,text,favorite_count,retweet_count,created_at
60,1060570437904674819,".@KendrickLamar's got a new song on the @MikeWiLLMadeIt-curated 'Creed 2' soundtrack 

https://t.co/xPBwRP8GYT",146,22,Thu Nov 08 16:31:11 +0000 2018
61,1060570384796471297,What went down in the 2018 midterms --&gt; https://t.co/o6YE4kJc7o,8,3,Thu Nov 08 16:30:58 +0000 2018
62,1060570330576519168,"RT @jmartNYT: .⁦@clairecmc⁩ gets at an important part of rural realignment: nationalizing of media sources. 

She said she’d see Fox on TV…",0,624,Thu Nov 08 16:30:45 +0000 2018
63,1060570180399587329,"What are your thoughts on this?

https://t.co/rzZSxkIUXC",34,8,Thu Nov 08 16:30:10 +0000 2018
64,1060569384803020800,"It's still baseball weather in Arizona, so Joe Harris and Jarrett Allen went to the park and took some cuts at the @Cubs' spring training facility on their day off ☀️⚾ https://t.co/5aA1qs8IoK",57,8,Thu Nov 08 16:27:00 +0000 2018
65,1060569034893209600,"Gave the Why Not Zer0.1 a little remix so check out The Chaos ... out now in 2 colors!! #whynot 🤷🏾‍♂️ 
https://t.co/krnpMSOMTU https://t.co/GInjssmjsU",1086,169,Thu Nov 08 16:25:36 +0000 2018
66,1060568299447173121,"Are the #Cavs’ City Edition unis 🌊 or 🗑? #ThisIsCLE 
📷: @cavs https://t.co/OpomFy8XuN",64,7,Thu Nov 08 16:22:41 +0000 2018
67,1060567693156405250,"RT @JustinVerrier: In the Lakers’ 11 games: 9 have passed the crunch time threshold, 6 have been decided by 4 points or fewer, and 3 have h…",0,34,Thu Nov 08 16:20:17 +0000 2018
68,1060567637028229120,"#Btrain #Dtrain #Ftrain #Mtrain have delays Monday to Friday, until Nov 9Downtown [B] [Q] trains run at a slower speed in the area of 7 Av in Brooklyn #NYCsubway https://t.co/jh4U3Ctg8s",0,0,Thu Nov 08 16:20:03 +0000 2018
69,1060567476352835584,"A Stantonian Birthday. 🌋

Buon compleanno, G! https://t.co/eeGTguAyDG",3140,577,Thu Nov 08 16:19:25 +0000 2018
70,1060567449593135105,I’ve already gone into preemptive exile. https://t.co/K3uYAVqtw7,51,0,Thu Nov 08 16:19:19 +0000 2018
71,1060567280864641024,https://t.co/ONHEtwDpoI,13019,5181,Thu Nov 08 16:18:38 +0000 2018
72,1060566887497637888,(2002) @kobebryant 💭🏆 https://t.co/wUKS0rETtA,278,57,Thu Nov 08 16:17:05 +0000 2018
73,1060566407509872642,"Feels like people are sleeping on how wild this actually is

https://t.co/ZMTjsljzHv",141,24,Thu Nov 08 16:15:10 +0000 2018
74,1060565630850600965,I am dunked on https://t.co/snVDs2mWiM,115,1,Thu Nov 08 16:12:05 +0000 2018
75,1060565259616870400,"RT @HotlineJosh: Looking like the national House vote will be awfully similar to 2006.

Dems won House vote by 6.4% in 2006.
Just under tha…",0,22,Thu Nov 08 16:10:36 +0000 2018
76,1060565144974049280,This is a fair point. https://t.co/HC4Dz31Gff,41,6,Thu Nov 08 16:10:09 +0000 2018
77,1060564974224003072,I have always known I was going to wind up in an Austrian prison. https://t.co/4bjp9GxfUx,84,2,Thu Nov 08 16:09:28 +0000 2018
78,1060564728315969536,"RT @RBPundit: Um. Do you even know what universal background checks are?

Because this guy went through a background check. https://t.co/pN…",0,278,Thu Nov 08 16:08:30 +0000 2018
79,1060564545243111427,"Pick one: the Grizzlies' wrestling-inspired City Edition unis or the Sixers' 'Rocky' and #Creed2-inspired ones.
#GrindCity #HereTheyCome https://t.co/R0DokWPFXk",8,1,Thu Nov 08 16:07:46 +0000 2018
80,1060564506131058688,"RT @RabbiWolpe: Soundtrack of olam haba: The Sinatra bridge, low&amp;rising, in Riddle arranged “Old Man River” (&amp; the broken ‘and’ in Basie ‘e…",0,4,Thu Nov 08 16:07:37 +0000 2018
81,1060563546373832704,About last night. https://t.co/KNWu12luDt,300,43,Thu Nov 08 16:03:48 +0000 2018
82,1060563086497714181,One more. Just some light googling https://t.co/8OKYmulRjj,5,1,Thu Nov 08 16:01:58 +0000 2018
83,1060562890086891522,I'll be signing autographs @NEPicture_com on Nov. 13 c/o @Fanatics. Come out and see @smart_MS3 &amp; me. #CUsRise #FanaticsExclusive https://t.co/5EygiMaQCr,98,10,Thu Nov 08 16:01:11 +0000 2018
84,1060562778723926016,Here it is #HEATNation - the official intro video for #ViceNights. I’m excited to be wearing this jersey during my #OneLastDance with the @MiamiHEAT. You can get your own #ViceNights jersey tonight at midnight at @AAarena or online. https://t.co/4jQYM9zIVi,1511,764,Thu Nov 08 16:00:45 +0000 2018
85,1060562695806689280,This one is from just the other night. https://t.co/TdpTItAyrg,6,1,Thu Nov 08 16:00:25 +0000 2018
86,1060562639934382080,"Happy Birthday, @ERICB! 🎉 

https://t.co/TYQ9OnhTqm",34,11,Thu Nov 08 16:00:12 +0000 2018
87,1060562620019826688,"REMINDER-Due to Positive Train Control (PTC) track work and signal improvements, buses will replace Port Jervis Line trains between Harriman and Port Jervis stations tomorrow night, November 9 through Sunday, November 11. More info: https://t.co/RbK6MDOjcS https://t.co/YG0SgnR4Wr",4,2,Thu Nov 08 16:00:07 +0000 2018
88,1060562593725796352,Oh yeah here’s one. Missouri I think. https://t.co/2X4zkRq8NN,7,1,Thu Nov 08 16:00:01 +0000 2018
89,1060562449307484161,Lance Stephenson GETS IN THE GYM Right After Lakers Defeat Timberwolves! https://t.co/lpyE78fR5K,3,0,Thu Nov 08 15:59:26 +0000 2018
90,1060561391751479296,"Never a dull moment... Da Homie
@christuckerreal murk’d it last night!!! https://t.co/uqZ1J2fWdB",631,80,Thu Nov 08 15:55:14 +0000 2018
91,1060561344255217664,"Creed's Scott Stapp says that he wasn't trying to commit suicide when T.I. found him and got him to the hospital in 2006

https://t.co/SGCYlMNAaY",20,1,Thu Nov 08 15:55:03 +0000 2018
92,1060561338617876480,I enjoyed this https://t.co/Re9aPOlHEB,797,65,Thu Nov 08 15:55:02 +0000 2018
93,1060561199761448961,"Can’t organize in the street anymore? Is that true? I think I saw some recently, let’s see if I can dig up the pics... https://t.co/mfkavbvj05",10,1,Thu Nov 08 15:54:28 +0000 2018
94,1060561143222190081,🤷🏾‍♂️ https://t.co/UOhvCgNulA,47,10,Thu Nov 08 15:54:15 +0000 2018
95,1060560677620731904,RT @esaagar: Protestors did not merely gather and shout outside @TuckerCarlson's home. They broke his oak front door while his wife was hom…,0,2632,Thu Nov 08 15:52:24 +0000 2018
96,1060560597765378048,"RT @iowahawkblog: Tanned, relaxed, ready https://t.co/eF46aARQYg",0,81,Thu Nov 08 15:52:05 +0000 2018
97,1060560086324654080,"Delays reported on #Btrain #Dtrain #Ftrain #Mtrain Monday to Friday, until Nov 9Downtown [B] [Q] trains run at a slower speed in the area of 7 Av in Brooklyn #MTA https://t.co/jh4U3Ctg8s",0,0,Thu Nov 08 15:50:03 +0000 2018
98,1060559501563031553,Lenny Williams - “Cause I love you” google that millennials please. I would love for you to appreciate it,1095,267,Thu Nov 08 15:47:44 +0000 2018
99,1060558949894774785,We’ll update this post on a semi-regular basis --&gt; https://t.co/mkjF6lOz3e,27,13,Thu Nov 08 15:45:32 +0000 2018
100,1060558935734681600,Calling all superheroes. Today is the day. Join us for Cape Day to honor all of the brave patients at @Children’s Health. Check out https://t.co/FqRccn90W2 for more. #CapeDayNTX https://t.co/GyNSRGuQIZ,861,119,Thu Nov 08 15:45:29 +0000 2018
101,1060558834840821762,"Before the fame

https://t.co/SMDoVRrtRY",61,22,Thu Nov 08 15:45:05 +0000 2018
102,1060558458578030592,"If you don’t know the song, doesn’t mean the song wack... mean you wack.",2882,764,Thu Nov 08 15:43:35 +0000 2018
103,1060557936974532608,"RT @MSGNetworks: That was a scary fall for @Enes_Kanter, but don't worry about him. He's just getting ready for his @WWE career. 😁 #Knicks…",0,47,Thu Nov 08 15:41:31 +0000 2018
104,1060557903462125568,RT @mariohezonja: @Enes_Kanter @WWE Hadi kardeşim!!!!! ❤️🇭🇷 🇹🇷,0,8,Thu Nov 08 15:41:23 +0000 2018
105,1060557846104817666,"The Celtics and Sixers are both feeling growing pains as they incorporate Hayward and Fultz into the mix. But it’s a necessity. On the challenges finding balance for both teams, from Monday on @ringer: https://t.co/l4pLyZHq6r",53,3,Thu Nov 08 15:41:09 +0000 2018
106,1060557810059145216,Don’t tweet about Antifa and set your phone down for an hour.,102,3,Thu Nov 08 15:41:00 +0000 2018
107,1060557684263374854,This is my point. Correlation between state gun laws and mass shootings is non-existent. https://t.co/OjHE8871gz,5053,1016,Thu Nov 08 15:40:30 +0000 2018
